Character,Race,Gender,Elemental Affinity,Authority,Height,Afiliation,Divine Protection,Age,Priority
Liliana Masquerade,Human,Female,N/A,No,150cm,Pristella,Yes,22,T
Fortuna,Elf,Female,Fire,No,168cm,Elior Forest,No,Unknown,T
Arch Elior,Elf,Male,"Fire, Wind",No,172cm,Elior Forest,No,Unknown,F
Vincent Vollachia,Human,Male,N/A,No,175cm,Vollachia,No,26,T
Stride Vollachia,Human,Male ,N/A,Yes,Unknown,Vollachia,No,28,T
Lamia Godwin,Human,Female,N/A,No,Unknown,Vollachia,No,16,F
Eugard Vollachia,Human,Male,N/A,No,Unknown,Vollachia,No,Unknown,T
Cecilus Segmunt,Human,Male,N/A,No,Unknown,Vollachia,No,19,T
Arakiya,"Human, Beast",Female,"Fire, Wind, Water, Earth, Yin, Yang",No,Unknown,Vollachia,No,19,T
Olbart Dunkelkenn,Human,Male,N/A,No,100cm,Vollachia,No,98+,T
Chisha Gold,Human,Male,N/A,No,Unknown,Vollachia,No,29,T
Yorna Mishigure,"Human, Beast",Female,N/A,No,Unknown,Vollachia,No,Unknown,T
Madelyn Eschart,Dragonkin,Female,N/A,No,Unknown,Vollachia,No,Unknown,T
Balleroy Temeglyph,Human,Male,"Yang, Wind",No,Unknown,Vollachia,No,Unknown,T
Kafma Irulux,Insect Cage Clan,Male,N/A,No,Unknown,Vollachia,No,Unknown,T
Jamal Aurélie,Human,Male,N/A,No ,Unknown,Vollachia ,No ,Unknown,F
Todd Fang,"Human, Beast",Male,N/A,No,180cm,Vollachia,Yes,Unknown,T
Kurgan,Multi-Arm Clan,Male,N/A,No,213cm,Vollachia,No,Unknown,F
Flop O'Connell,Human,Male,N/A,No,175cm,Vollachia,No ,20,F
Medium O'Connell,Human,Female,N/A,No,185cm,Vollachia,Yes,20,F
Rowan Segmunt,Human,Male,N/A,No,Unknown,Vollachia,No,50,F
Taritta Shudrak,Shudrak,Female,N/A,No,Unknown,Vollachia,No,Unknown,F
Tanza,"Human, Beast",Female,N/A,No ,Unknown,Vollachia,No,11,T
Katya Aurélie,Human,Female,N/A,No ,Unknown,Vollachia,No,Unknown,F
Gustav Morello,Multi-Arm Clan,Male,N/A,No,250cm,Vollachia,No ,Unknown,F
Halibel,Demi-Human,Male,N/A,No,190cm,Kararagi,No,40,T
Zarestria,Spirit,Female,Wind,No,166cm,Kararagi,No,1000+,T
Rigel Natsuki,"Human, Oni",Male,N/A,No,Unknown,Kararagi,No,9,F
Spica Natsuki,"Human, Oni",Female,N/A,No,Unknown,Kararagi,No,Unknown,F
Elsa Granhiert,Human,Female,N/A,No,168cm,Gusteko,No,23,T
Petelgeuse Romanée-Conti,Spirit,Male,Earth,Yes,180cm,Witch Cult,No,402,T
Regulus Corneas,Human,Male,N/A,Yes,173cm,Witch Cult,No,120+,T
Sirius Romanée-Conti,Elf,Female,Fire,Yes,168cm,Witch Cult,No,Unknown,T
Capella Emerada Lugunica,Unknown,Female,N/A,Yes,145cm,Witch Cult,No,Unknown,T
Lye Batenkaitos,Human,Male,N/A,Yes,150cm,Witch Cult,No ,Unknown,T
Roy Alphard,Human,Male,"Fire, Wind, Water, Earth, Yin, Yang",Yes,150cm,Witch Cult,No,Unknown,T
Spica,Human,Female,"Fire, Wind, Water, Earth, Yin, Yang",Yes,140cm,Witch Cult,No ,Unknown,T
Pandora,Unknown,Female,N/A,Yes,155cm,Witches of Sin,No,400+,T
Satella,"Human, Elf",Female,Yin,Yes,164cm,Witches of Sin,No,400+,T
Echidna,Human,Female,"Fire, Wind, Water, Earth, Yin, Yang",Yes,164cm,Witches of Sin,No,400+,T
Minerva,Human,Female,N/A,Yes,155cm,Witches of Sin,No,400+,T
Sekhmet,Giant,Female,N/A,Yes,170cm,Witches of Sin,No,400+,T
Daphne,Human,Female ,N/A,Yes,140cm,Witches of Sin,No ,400+,T
Typhon,Human,Female,N/A,Yes,125cm,Witches of Sin,No,400+,T
Carmilla,Human,Female,N/A,Yes,158cm,Witches of Sin,No,400+,T
Hector,Unknown,Male,N/A,Yes,185cm,Warlock of Meloncholy,No,400+,T
Omega,"Human, Elf",Female,"Fire, Wind, Water, Earth, Yin, Yang",Yes,135cm,Witches of Sin,No,400+,T
Sphinx,"Human, Elf",Female,"Fire, Wind, Water, Earth, Yin, Yang",No,135cm,Demi-Human Alliance,No,400+,T
Kenichi Natsuki,Human,Male,N/A,No,Unknown,Japan,No,40+,T
Naoko Natsuki,Human,Female,N/A,No ,Unknown,Japan,No,40+,T
